company,job,city,min_salary,max_salary,experience,education,financing,size,insurance,bonus,examination,weekend,prospect,team,travel,train
信华信技术（昆山）有限公司,python开发工程师,西安,13000.0,18000.0,3-5年,本科,未融资,500-2000人,N,N,N,N,N,N,N,N
奇安信集团,python开发,上海,15000.0,22000.0,1-3年,本科,上市公司,2000人以上,N,N,N,N,N,Y,N,N
小角牛食品,python开发,安阳,10000.0,15000.0,在校/应届,本科,未融资,少于15人,N,N,N,N,N,N,N,N
成都兴能金通科技有限公司,python开发工程师,成都,18000.0,28000.0,5-10年,大专,不需要融资,15-50人,N,N,N,N,N,Y,N,N
北京迈迪培尔信息技术有限公司,python工程师,北京,6000.0,12000.0,不限,本科,天使轮,15-50人,N,N,Y,Y,N,N,N,N
大连华信计算机,python开发工程师,西安,12000.0,19000.0,3-5年,本科,上市公司,2000人以上,N,N,N,N,N,N,N,N
嘉信建设集团,python开发工程师,深圳,20000.0,40000.0,5-10年,本科,不需要融资,500-2000人,N,N,N,N,N,N,N,Y
飞脉科技,python,武汉,8000.0,15000.0,1-3年,大专,未融资,15-50人,N,N,N,N,N,N,N,N
华为技术有限公司,python开发工程师,西安,15000.0,25000.0,不限,本科,不需要融资,2000人以上,N,N,N,N,Y,N,N,N
威廉欧奈尔中国,python开发工程师,上海,12000.0,24000.0,1-3年,本科,未融资,15-50人,Y,N,N,N,N,N,Y,N
VTECH,python开发工程师,北京,15000.0,20000.0,不限,本科,A轮,50-150人,N,N,N,N,N,N,N,N
和润达,python工程师,深圳,25000.0,50000.0,3-5年,本科,天使轮,150-500人,N,N,N,N,N,Y,N,N
中软国际科技服务有限公司,python开发工程师,西安,9000.0,15000.0,1-3年,本科,上市公司,2000人以上,N,N,N,N,N,N,N,N
中软国际科技服务有限公司,python开发工程师,西安,15000.0,30000.0,不限,本科,上市公司,2000人以上,N,N,N,N,N,N,N,N
万博时代,python开发工程师,深圳,15000.0,25000.0,3-5年,大专,未融资,150-500人,N,N,N,N,N,Y,N,N
天锐医健,python开发工程师,广州,9000.0,12000.0,1-3年,大专,未融资,50-150人,Y,N,N,N,N,N,N,N
晓邻,python开发工程师,济南,8000.0,12000.0,1-3年,本科,不需要融资,50-150人,N,N,N,N,N,N,N,N
神州云合数据科技发展有限公司,python开发工程师,南京,10000.0,16000.0,5-10年,本科,不需要融资,150-500人,N,N,N,N,N,N,N,N
平方和投资,python开发工程师,北京,15000.0,30000.0,不限,本科,不需要融资,15-50人,N,N,N,N,N,Y,N,N
慧诚集团,python开发工程师,济南,13000.0,26000.0,3-5年,本科,未融资,15-50人,N,N,N,N,N,N,N,N
陌壳,python开发,昆明,10000.0,18000.0,3-5年,本科,不需要融资,少于15人,N,N,N,N,N,N,N,N
西安英荟烁,python,北京,15000.0,22000.0,不限,不限,未融资,150-500人,N,N,N,N,N,N,N,N
西安英荟烁,python,广州,15000.0,22000.0,不限,大专,未融资,150-500人,N,N,N,N,N,N,N,N
中软国际科技服务有限公司,python开发工程师,深圳,10000.0,18000.0,1-3年,本科,上市公司,2000人以上,N,N,N,N,N,N,N,N
北京时空立方,Python开发,广州,10000.0,15000.0,1-3年,本科,未融资,500-2000人,Y,N,N,N,N,N,N,N
观源科技,python开发工程师,上海,12000.0,24000.0,1-3年,本科,A轮,50-150人,N,N,N,N,N,N,N,N
同和科技,python开发工程师,深圳,14000.0,19000.0,3-5年,大专,不需要融资,500-2000人,N,N,N,Y,N,N,N,N
途游,python开发工程师,北京,18000.0,36000.0,不限,本科,B轮,500-2000人,N,Y,N,N,N,N,N,N
南方报业,Python开发工程师,广州,20000.0,40000.0,不限,本科,不需要融资,2000人以上,N,N,N,N,N,N,N,N
华为,python开发工程师,西安,15000.0,30000.0,不限,本科,不需要融资,2000人以上,N,N,N,N,N,N,N,N
四川凯普顿信息技术股份有限公司,python开发工程师,成都,18000.0,25000.0,3-5年,本科,上市公司,50-150人,N,N,N,N,N,N,N,N
